,Dept_rollup_id,Dept_rollup_name
0,AUSTIN ENERGY,AUSTIN ENERGY
1,FIRE,FIRE
2,AUSTIN RESOURCE RECOVERY,AUSTIN RESOURCE RECOVERY
3,PARKS & RECREATION,PARKS & RECREATION
4,POLICE,POLICE
5,AUSTIN CODE,AUSTIN CODE
6,AUSTIN WATER,AUSTIN WATER
7,AUSTIN TRANSPORTATION,AUSTIN TRANSPORTATION
8,ENTERPRISE DEBT SERVICE,ENTERPRISE DEBT SERVICE
9,GENERAL OBLIGATION DEBT SERVICE,GENERAL OBLIGATION DEBT SERVICE
10,MAYOR & COUNCIL,MAYOR & COUNCIL
11,MANAGEMENT SERVICES,MANAGEMENT SERVICES
12,OFFICE OF THE CITY CLERK,OFFICE OF THE CITY CLERK
13,MUNICIPAL COURT,MUNICIPAL COURT
14,NONDEPARTMENTAL,NONDEPARTMENTAL
15,INFORMATION SECURITY OFFICE,INFORMATION SECURITY OFFICE
16,DEVELOPMENT SERVICES,DEVELOPMENT SERVICES
17,ECONOMIC DEVELOPMENT,ECONOMIC DEVELOPMENT
18,COMMUNICATIONS & TECHNOLOGY MANAGEMENT,COMMUNICATIONS & TECHNOLOGY MANAGEMENT
19,LAW,LAW
20,HUMAN RESOURCES,HUMAN RESOURCES
21,COMMUNICATIONS & PUBLIC INFORMATION,COMMUNICATIONS & PUBLIC INFORMATION
22,PUBLIC WORKS,PUBLIC WORKS
23,WATERSHED PROTECTION,WATERSHED PROTECTION
24,FORENSIC SCIENCE,FORENSIC SCIENCE
25,PLANNING & ZONING,PLANNING & ZONING
26,OFFICE OF THE CITY AUDITOR,OFFICE OF THE CITY AUDITOR
27,NEIGHBORHOOD HOUSING & COMMUNITY DEVELOPMENT,NEIGHBORHOOD HOUSING & COMMUNITY DEVELOPMENT
28,FINANCIAL SERVICES,FINANCIAL SERVICES
29,BUILDING SERVICES,BUILDING SERVICES
30,SMALL AND MINORITY BUSINESS RESOURCES,SMALL AND MINORITY BUSINESS RESOURCES
31,FLEET SERVICES,FLEET SERVICES
32,AVIATION,AVIATION
33,AUSTIN CONVENTION CENTER,AUSTIN CONVENTION CENTER
34,AUSTIN PUBLIC LIBRARY,AUSTIN PUBLIC LIBRARY
35,AUSTIN CONV & VISITORS BUREAU,AUSTIN CONV & VISITORS BUREAU
36,AUSTIN PUBLIC HEALTH,AUSTIN PUBLIC HEALTH
37,ANIMAL SERVICES,ANIMAL SERVICES
38,EMERGENCY MEDICAL SERVICES,EMERGENCY MEDICAL SERVICES
39,HOMELESS STRATEGY OFFICE,HOMELESS STRATEGY OFFICE
